run_id,optimizer,activation,initializer,l1_reg,l2_reg,train_accuracy,val_accuracy,fit_time_sec
3,SGD_Momentum,tanh,he_uniform,0.0,0.001,0.8449814915657043,0.8454999923706055,8.192290306091309
1,SGD_Momentum,tanh,he_uniform,0.001,0.001,0.837925910949707,0.8371666669845581,8.378410816192627
2,SGD_Momentum,tanh,he_uniform,0.001,0.001,0.8382962942123413,0.8355000019073486,7.93139386177063
3,SGD_Momentum,tanh,he_uniform,0.001,0.001,0.837148129940033,0.8373333215713501,7.727517127990723
1,RMSprop,relu,glorot_uniform,0.0,0.0,0.8960185050964355,0.8856666684150696,7.009507179260254
2,RMSprop,relu,glorot_uniform,0.0,0.0,0.8960000276565552,0.8816666603088379,6.852549314498901
3,RMSprop,relu,glorot_uniform,0.0,0.0,0.8963703513145447,0.8834999799728394,7.403972387313843
1,RMSprop,relu,glorot_uniform,0.001,0.0,0.7826481461524963,0.7935000061988831,7.525673151016235
2,RMSprop,relu,glorot_uniform,0.001,0.0,0.7846111059188843,0.7976666688919067,7.44944429397583
3,RMSprop,relu,glorot_uniform,0.001,0.0,0.7860925793647766,0.7944999933242798,7.296853542327881
1,RMSprop,relu,glorot_uniform,0.0,0.001,0.8605740666389465,0.8638333082199097,7.518244028091431
2,RMSprop,relu,glorot_uniform,0.0,0.001,0.8578333258628845,0.871666669845581,7.283719062805176
3,RMSprop,relu,glorot_uniform,0.0,0.001,0.8606111407279968,0.8631666898727417,7.4820191860198975
1,RMSprop,relu,glorot_uniform,0.001,0.001,0.7778333425521851,0.7860000133514404,8.02738618850708
2,RMSprop,relu,glorot_uniform,0.001,0.001,0.7744629383087158,0.7979999780654907,7.715749502182007
3,RMSprop,relu,glorot_uniform,0.001,0.001,0.7802592515945435,0.7923333048820496,7.624116659164429
1,RMSprop,relu,he_uniform,0.0,0.0,0.897851824760437,0.890333354473114,7.206237316131592
2,RMSprop,relu,he_uniform,0.0,0.0,0.9027962684631348,0.8824999928474426,6.78922963142395
3,RMSprop,relu,he_uniform,0.0,0.0,0.9027037024497986,0.8820000290870667,6.761385679244995
1,RMSprop,relu,he_uniform,0.001,0.0,0.793666660785675,0.8163333535194397,7.198008060455322
2,RMSprop,relu,he_uniform,0.001,0.0,0.7927407622337341,0.8034999966621399,7.313170909881592
3,RMSprop,relu,he_uniform,0.001,0.0,0.7918888926506042,0.8053333163261414,7.81763219833374
1,RMSprop,relu,he_uniform,0.0,0.001,0.8601481318473816,0.8643333315849304,7.474571704864502
2,RMSprop,relu,he_uniform,0.0,0.001,0.8571666479110718,0.8675000071525574,7.694939613342285
3,RMSprop,relu,he_uniform,0.0,0.001,0.8579259514808655,0.859000027179718,7.262864828109741
1,RMSprop,relu,he_uniform,0.001,0.001,0.79409259557724,0.8090000152587891,8.017015218734741
2,RMSprop,relu,he_uniform,0.001,0.001,0.7885185480117798,0.7941666841506958,8.113062858581543
3,RMSprop,relu,he_uniform,0.001,0.001,0.7834259271621704,0.7993333339691162,7.590562582015991
1,RMSprop,tanh,glorot_uniform,0.0,0.0,0.8803703784942627,0.8738333582878113,7.355041265487671
2,RMSprop,tanh,glorot_uniform,0.0,0.0,0.8791666626930237,0.8681666851043701,7.63193678855896
3,RMSprop,tanh,glorot_uniform,0.0,0.0,0.8804259300231934,0.8741666674613953,7.447580575942993
1,RMSprop,tanh,glorot_uniform,0.001,0.0,0.7982222437858582,0.8076666593551636,8.120861291885376
2,RMSprop,tanh,glorot_uniform,0.001,0.0,0.7980926036834717,0.8096666932106018,8.295207500457764
3,RMSprop,tanh,glorot_uniform,0.001,0.0,0.7841481566429138,0.8033333420753479,8.02567744255066
1,RMSprop,tanh,glorot_uniform,0.0,0.001,0.8175185322761536,0.828166663646698,8.26221227645874
